Fips,Name,Temp,Rank,Past Mean,,,,,,
5035,Mississippi County,77.9,60,77.8,,,,,,
5037,Monroe County,78,53,78.3,,,,,,
5039,Montgomery County,76.4,82,75.7,,,,,,
5041,Nevada County,77.4,43,78.1,,,,,,
5043,Newton County,72.8,78,72.2,,,,,,
5045,Ouachita County,77.5,43,78.4,,,,,,
5047,Perry County,77.7,81,76.9,,,,,,
5049,Phillips County,77.8,40,78.4,,,,,,
5051,Pike County,77.2,83,76.6,,,,,,
5053,Poinsett County,77.9,67,77.5,,,,,,
5055,Polk County,75.6,89,74.5,,,,,,
5057,Pope County,75.8,78,75.2,,,,,,
5059,Prairie County,78,60,78.1,,,,,,
5061,Pulaski County,77.4,58,77.6,,,,,,
5063,Randolph County,75.7,68,75.3,,,,,,
5065,St. Francis County,77.9,53,78.2,,,,,,
5067,Saline County,77,62,77,,,,,,
5069,Scott County,76.2,81,75.5,,,,,,
5071,Searcy County,73.5,70,73.2,,,,,,
5073,Sebastian County,77.3,85,76.4,,,,,,
5075,Sevier County,78.6,98,77,,,,,,
5077,Sharp County,74.6,71,74.2,,,,,,
5079,Stone County,74,68,73.8,,,,,,
5081,Union County,78.5,71,78.4,,,,,,
5083,Van Buren County,74.6,73,74.3,,,,,,
5085,Washington County,74.4,90,73.2,,,,,,
5087,White County,76.9,69,76.6,,,,,,
5089,Woodruff County,77.6,57,77.6,,,,,,
5091,Yell County,77.3,80,76.6,,,,,,
5093,Alameda County,69.2,122,65,,,,,,
5095,Alpine County,61,127,53.3,,,,,,
5097,Amador County,74.3,127,67.3,,,,,,
5099,Butte County,76.5,125,70.1,,,,,,
5101,Calaveras County,74.4,126,67.8,,,,,,
5103,Colusa County,78.3,127,72.3,,,,,,
5105,Contra Costa County,70.4,115,66.9,,,,,,
5107,Del Norte County,64.1,126,58.3,,,,,,
5109,El Dorado County,70.3,127,63.3,,,,,,
5111,Fresno County,72.5,127,65.6,,,,,,
5113,Glenn County,76.9,124,71.2,,,,,,
5115,Humboldt County,66.5,127,60,,,,,,
5117,Imperial County,92.1,127,85.6,,,,,,
5119,Inyo County,82.2,127,74,,,,,,
5121,Kern County,80,127,72.5,,,,,,
5123,Kings County,80.6,124,74.7,,,,,,
5125,Lake County,71.5,126,66.1,,,,,,
5127,Lassen County,66.8,127,58.1,,,,,,
5129,Los Angeles County,74.1,124,67.9,,,,,,
5131,Madera County,73.4,127,66.4,,,,,,
5133,Marin County,61.5,114,58.8,,,,,,
5135,Mariposa County,72.5,127,65.2,,,,,,
